Parola,1980,2016
arberesh,0,0
lek,0,0
quindar,0,0
tosco,0,0
UCK,0,0
amba,0,0
barambara,0,0
berberè,0,0
cicà,0,0
dagussà,0,0
daula,0,0
degà,0,0
deggiasmac,0,0
degiac,0,0
derah,0,0
ecciaghi,0,0
falasha,0,0
faraslà,0,0
fitaurari,0,0
geez,0,0
ghebì,0,0
kantibà,0,0
mancor,0,0
negarit,0,0
neggadras,0,0
negus,0,0
qunnà,0,0
sassà,0,0
sciamma,0,0
sciftà,0,0
tanquà,0,0
tec,0,0
teff,0,0
abeyas,0,0
ain,0,0
aman,0,0
angareb,0,0
ardabb,0,0
atlas,0,0
baggala,0,0
bamia,0,0
been,0,0
bektashi,0,0
birka,0,0
burqa,0,0
cadì,0,0
cafila,0,0
caid,0,0
caribù,0,0
carmata,0,0
cassida,0,0
cat,0,0
cuscus,0,0
dhikr,0,0
dhimmi,0,0
dhira,0,0
dinar,0,0
dirham,0,0
diya,0,0
farsakh,0,0
fasiq,0,0
fatwa,0,0
fedayin,0,0
feddan,0,0
fellah,0,0
fellihi,0,0
fennec,0,0
ferahan,0,0
fils,0,0
futa,0,0
gebel,0,0
ghazal,0,0
ghibli,0,0
giallab,0,0
ginn,0,0
gizya,0,0
gubab,0,0
gundi,0,0
hadd,0,0
hadith,0,0
hadra,0,0
hatiz,0,0
hagg,0,0
haie,0,0
haik,0,0
hamada,0,0
hamasa,0,0
hammam,0,0
hamza,0,0
hanif,0,0
haram,0,0
harbi,0,0
henna,0,0
hezbollah,0,0
higia,0,0
hijab,0,0
himar,0,0
hisba,0,0
idda,0,0
igiaza,0,0
igma,0,0
imam,0,0
intifada,0,0
islam,0,0
isnad,0,0
iwan,0,0
jallabiya,0,0
jamahiriya,0,0
jihad,0,0
kaaba,0,0
katir,0,0
kaila,0,0
kalam,0,0
kefiyyah,0,0
kerr,0,0
khanqa,0,0
khatib,0,0
khogia,0,0
khutba,0,0
kiswa,0,0
kitab,0,0
kohl,0,0
lablab,0,0
ladik,0,0
lagbi,0,0
leben,0,0
liwa,0,0
macruna,0,0
madhhab,0,0
madrasa,0,0
maglis,0,0
mahalla,0,0
mahdi,0,0
maktub,0,0
malti,0,0
marhala,0,0
mashhad,0,0
mastaba,0,0
meddah,0,0
medina,0,0
mihrab,0,0
minbar,0,0
mithqal,0,0
mogarsa,0,0
mufti,0,0
mugtahid,0,0
muhtasib,0,0
mukhatara,0,0
munazara,0,0
mumaz,0,0
murid,0,0
rnurkab,0,0
musallé,0,0
musnad,0,0
muta,0,1
muwallad,0,0
muwashshaha,0,0
nabka,0,0
nadir,0,0
naqib,0,0
nasib,0,0
naskhi,0,0
natron,0,0
niqab,0,0
nisba,0,0
nizam,0,0
qadah,0,0
qadar,0,0
qafiz,0,0
qala,0,0
qanun,0,0
qasr,0,0
qat,0,0
qawwali,0,0
qibla,0,0
qintar,0,0
qirat,0,0
qisma,0,0
qiyas,0,0
qubba,0,0
quffa,0,0
qutb,0,0
rabab,0,0
ragiab,0,0
ragiaz,0,0
raka,0,0
ramadan,0,0
lras,0,0
Zras,0,0
ratl,0,0
rawi,0,0
realgar,0,0
reg,0,0
ribat,0,0
ridda,0,0
riqa,0,0
riyal,0,0
Zrub,0,0
rubai,0,0
sabra,0,0
sahel,0,0
salam,0,0
sansa,0,0
saqiya,0,0
savari,0,0
sayyid,0,0
sebcha,0,0
scghife,0,0
serir,0,0
shaduf,0,0
shamal,0,0
shaqil,0,0
sharia,0,0
shuubiyya,0,0
sif,0,0
simun,0,0
sira,0,0
sirat,0,0
sirdar,0,0
sloughi,0,0
sufi,0,0
suk,0,0
sukun,0,0
sunna,0,0
sura,0,0
swahili,0,0
tafla,0,0
tagwid,0,0
tahina,0,0
taliq,0,0
tanwin,0,0
taqiyya,0,0
tarbush,0,0
tariqa,0,0
tasbih,0,0
tawaf,0,0
tawil,0,0
taziya,0,0
tchorba,0,0
tell,0,0
tiraz,0,0
trabulsi,0,0
uadi,0,0
ud,0,0
ulama,0,0
umma,0,0
urì,0,0
wafd,0,0
waiba,0,0
wali,0,0
waqf,0,0
zagial,0,0
zakat,0,0
zariba,0,0
zavict,0,0
zawiya,0,0
zerda,0,0
zcriba,0,0
zibiba,0,0
zindiq,0,0
camsin,0,0
cangia,0,0
darabukka,0,0
hamla,0,0
hamsin,0,0
himl,0,0
milim,0,0
mudiriyya,0,0
targum,0,0
degù,0,0
nadené,0,0
baluba,0,0
bantu,0,0
cudù,0,0
gombo,0,0
impala,0,0
mkani,0,0
ETA,0,0
taka,0,0
karkur,0,0
tifinagh,0,0
kalula,0,0
pyas,0,0
ulock,0,0
lev,0,0
stotinka,0,0
cafficciò,0,0
zouk,0,0
pariatge,0,0
talayots,0,0
haler,0,0
koruna,0,0
mira,0,0
polka,0,0
sah,0,0
chop suey,0,0
dazebao,0,0
falun gong,0,0
fen,0,0
feng shui,0,0
ginseng,0,0
hao,0,0
I-ching,0,0
kin,0,0
king,0,0
kung fu,0,0
liang,0,0
litchi,0,0
lokao,0,0
ma-huang,0,0
minkia,0,0
mou,0,0
ngai,0,0
pai-xiao,0,0
pe-tsai,0,0
qi gong,0,0
renminbi,0,0
shao,0,0
shaolin chuan ·,0,0
sheng,0,0
tai chi,0,0
tai chi chuan,0,0
titse,0,0
tsun,0,0
wok,0,0
wu,0,0
xiang,0,0
yang,0,0
yin,0,0
ying,0,0
yuè,0,0
stantara,0,0
PKK,0,0
bradsot,0,0
dannebrog,0,0
komtnde,0,0
mil,0,0
paalstav,0,0
rode,0,0
malayalam,0,0
kodagu,0,0
alef,0,0
bar mitzvah,0,0
cacam,0,0
chaluz,0,0
efod,0,0
etrog,0,0
gemara,0,0
golem,0,0
haganah,0,0
haggadah,0,0
hagigah,0,0
halakhah,0,0
halisah,0,0
hanukkah,0,0
hazzan,0,0
ivrit,0,0
kasher,0,0
kibbutz,0,0
kinnor,0,0
kippah,0,0
kippur,0,0
masora,0,0
massebah,0,0
massot,0,0
menorah,0,0
midrash,0,0
mishnah,0,0
mohar,0,0
nebel,0,0
nisan,0,0
olah,0,0
parashah,0,0
pesach,0,0
piyyut,0,0
purim,0,0
qabbalah,0,0
qedeshim,0,0
scevà,0,0
selihah,0,0
shalom,0,0
sheol,0,0
shibboleth,0,0
shoah,0,0
shofar,0,0
sukkot,0,0
taled,0,0
tallit,0,0
talmud,0,0
tammuz,0,0
tefillah,0,0
tishri,0,0
torah,0,0
yupik,0,0
irnuit,0,0
karmàk,0,0
